Video,Quality,Status,TimeStall,Eid,Date,Time,Category
oh904_HdkwY,"unknown,",-1,0.0,mc6,2024-06-14,15:45:48,unstarted
oh904_HdkwY,"unknown,",3,0.0,mc6,2024-06-14,15:45:48,buffering
oh904_HdkwY,"large,",1,0.05477304196,mc6,2024-06-14,15:45:50,playing
oh904_HdkwY,"hd2160,",3,57.534996,mc6,2024-06-14,15:46:48,buffering
oh904_HdkwY,"large,",1,187.345696,mc6,2024-06-14,15:47:31,playing
oh904_HdkwY,"large,",2,186.184237,mc6,2024-06-14,15:47:31,paused
oh904_HdkwY,"large,",3,157.4397527,mc6,2024-06-14,15:47:32,buffering
oh904_HdkwY,"large,",1,167.6780489,mc6,2024-06-14,15:47:35,playing
oh904_HdkwY,"large,",2,170.706996,mc6,2024-06-14,15:47:39,paused
oh904_HdkwY,"large,",3,54.424606,mc6,2024-06-14,15:47:45,buffering
oh904_HdkwY,"large,",1,54.61443908,mc6,2024-06-14,15:47:46,playing
oh904_HdkwY,"large,",0,191.321,mc6,2024-06-14,15:50:03,ended
oh904_HdkwY,"unknown,",3,0.0,mc6,2024-06-15,8:54:57,buffering
oh904_HdkwY,"unknown,",-1,0.0,mc6,2024-06-15,8:54:57,unstarted
oh904_HdkwY,"large,",1,0.03421087602,mc6,2024-06-15,8:54:57,playing
oh904_HdkwY,"large,",0,191.321,mc6,2024-06-15,8:58:09,ended
